,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
45,SAC,SAC vs. ATL,03/24/2021,W,240,110,40,84,47.6,10,30,33.3,20,22,90.9,12,30,42,21,5,6,16,16,2
46,ATL,ATL @ SAC,03/24/2021,L,240,108,41,85,48.2,7,25,28.0,19,23,82.6,11,31,42,17,5,3,13,20,-2
47,UTA,UTA vs. BKN,03/24/2021,W,240,118,41,91,45.1,23,55,41.8,13,14,92.9,11,45,56,24,6,6,13,15,30
48,BKN,BKN @ UTA,03/24/2021,L,240,88,35,97,36.1,7,35,20.0,11,15,73.3,13,35,48,19,9,1,9,10,-30
49,SAS,SAS vs. LAC,03/24/2021,L,240,101,39,85,45.9,7,22,31.8,16,19,84.2,6,34,40,22,6,6,16,24,-33
50,LAC,LAC @ SAS,03/24/2021,W,240,134,49,88,55.7,17,33,51.5,19,30,63.3,5,39,44,23,10,3,8,20,33
51,HOU,HOU vs. CHA,03/24/2021,L,240,97,33,86,38.4,16,49,32.7,15,22,68.2,10,29,39,24,6,2,7,19,-25
52,CHA,CHA @ HOU,03/24/2021,W,240,122,41,80,51.3,18,38,47.4,22,29,75.9,10,40,50,27,4,3,14,20,25
53,IND,IND vs. DET,03/24/2021,W,240,116,45,97,46.4,15,34,44.1,11,14,78.6,11,26,37,25,7,8,10,20,5
54,DET,DET @ IND,03/24/2021,L,240,111,44,83,53.0,11,28,39.3,12,19,63.2,5,36,41,29,8,9,15,18,-5
55,PHI,PHI @ GSW,03/23/2021,W,240,108,39,86,45.3,7,24,29.2,23,35,65.7,13,38,51,15,5,4,14,24,10
56,GSW,GSW vs. PHI,03/23/2021,L,240,98,36,83,43.4,8,25,32.0,18,26,69.2,6,32,38,22,5,7,13,23,-10
57,POR,POR vs. BKN,03/23/2021,L,240,112,36,90,40.0,19,55,34.5,21,23,91.3,13,31,44,25,4,5,8,20,-4
58,BKN,BKN @ POR,03/23/2021,W,240,116,43,87,49.4,9,30,30.0,21,27,77.8,10,37,47,25,5,2,11,17,4
59,NOP,NOP vs. LAL,03/23/2021,W,240,128,47,90,52.2,10,29,34.5,24,26,92.3,11,42,53,28,9,3,14,24,17
60,LAL,LAL @ NOP,03/23/2021,L,240,111,36,85,42.4,18,37,48.6,21,30,70.0,6,28,34,25,10,4,13,17,-17
61,NYK,NYK vs. WAS,03/23/2021,W,240,131,47,92,51.1,16,30,53.3,21,24,87.5,12,30,42,23,6,8,10,28,18
62,WAS,WAS @ NYK,03/23/2021,L,240,113,38,79,48.1,9,23,39.1,28,35,80.0,7,31,38,25,5,5,17,23,-18
63,DEN,DEN @ ORL,03/23/2021,W,240,110,45,91,49.5,8,30,26.7,12,13,92.3,13,39,52,25,12,7,12,13,11
64,ORL,ORL vs. DEN,03/23/2021,L,240,99,39,88,44.3,11,34,32.4,10,14,71.4,9,28,37,27,8,4,13,12,-11
65,MIA,MIA vs. PHX,03/23/2021,L,240,100,36,86,41.9,13,36,36.1,15,17,88.2,17,33,50,23,3,4,14,13,-10
66,PHX,PHX @ MIA,03/23/2021,W,240,110,45,91,49.5,12,37,32.4,8,9,88.9,8,31,39,29,5,6,7,18,10
67,LAC,LAC vs. ATL,03/22/2021,W,240,119,42,85,49.4,17,38,44.7,18,20,90.0,8,36,44,26,4,7,8,16,9
68,ATL,ATL @ LAC,03/22/2021,L,240,110,43,95,45.3,12,34,35.3,12,16,75.0,15,33,48,21,3,3,7,18,-9
69,IND,IND @ MIL,03/22/2021,L,240,113,45,111,40.5,12,50,24.0,11,12,91.7,11,29,40,27,8,3,6,16,-27
