,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
192,CHA,CHA vs. SAC,03/15/2021,W,240,122,45,94,47.9,12,30,40.0,20,25,80.0,10,36,46,30,7,3,9,15,6
193,WAS,WAS vs. MIL,03/15/2021,L,240,122,44,87,50.6,16,38,42.1,18,24,75.0,2,31,33,34,5,1,14,18,-11
194,MIL,MIL @ WAS,03/15/2021,W,240,133,52,94,55.3,11,28,39.3,18,19,94.7,9,37,46,29,6,5,16,20,11
195,NOP,NOP vs. LAC,03/14/2021,W,240,135,53,81,65.4,12,26,46.2,17,21,81.0,4,36,40,38,8,1,19,16,20
196,LAC,LAC @ NOP,03/14/2021,L,240,115,42,92,45.7,15,43,34.9,16,19,84.2,9,23,32,23,12,2,12,17,-20
197,CHI,CHI vs. TOR,03/14/2021,W,240,118,44,97,45.4,12,44,27.3,18,23,78.3,14,46,60,35,6,7,12,20,23
198,TOR,TOR @ CHI,03/14/2021,L,240,95,34,90,37.8,12,45,26.7,15,21,71.4,7,31,38,23,5,7,12,22,-23
199,CLE,CLE @ ATL,03/14/2021,L,240,82,31,81,38.3,8,30,26.7,12,23,52.2,14,20,34,19,4,5,13,18,-18
200,ATL,ATL vs. CLE,03/14/2021,W,240,100,32,71,45.1,12,29,41.4,24,26,92.3,12,37,49,21,4,6,21,21,18
201,MIN,MIN vs. POR,03/14/2021,W,240,114,36,73,49.3,13,38,34.2,29,39,74.4,5,40,45,24,6,4,12,22,2
202,POR,POR @ MIN,03/14/2021,L,240,112,39,89,43.8,17,45,37.8,17,21,81.0,9,33,42,22,6,3,12,29,-2
203,BOS,BOS @ HOU,03/14/2021,W,240,134,51,92,55.4,18,37,48.6,14,21,66.7,10,45,55,29,8,3,14,22,27
204,HOU,HOU vs. BOS,03/14/2021,L,240,107,35,91,38.5,16,50,32.0,21,31,67.7,10,27,37,23,8,5,11,19,-27
205,MIA,MIA @ ORL,03/14/2021,W,240,102,37,89,41.6,14,50,28.0,14,15,93.3,10,33,43,28,15,6,11,17,5
206,ORL,ORL vs. MIA,03/14/2021,L,240,97,33,75,44.0,16,40,40.0,15,21,71.4,8,37,45,25,4,1,23,18,-5
207,SAS,SAS @ PHI,03/14/2021,L,240,99,36,85,42.4,4,21,19.0,23,31,74.2,10,22,32,20,8,10,9,13,-35
208,PHI,PHI vs. SAS,03/14/2021,W,240,134,56,98,57.1,15,29,51.7,7,11,63.6,13,41,54,35,7,7,11,27,35
209,GSW,GSW vs. UTA,03/14/2021,W,240,131,50,89,56.2,16,31,51.6,15,18,83.3,5,35,40,33,12,2,14,26,12
210,UTA,UTA @ GSW,03/14/2021,L,240,119,41,93,44.1,15,44,34.1,22,29,75.9,18,33,51,24,6,6,14,16,-12
211,OKC,OKC vs. MEM,03/14/2021,W,240,128,42,73,57.5,16,31,51.6,28,34,82.4,8,38,46,26,7,4,25,20,6
212,MEM,MEM @ OKC,03/14/2021,L,240,122,47,92,51.1,7,22,31.8,21,29,72.4,11,21,32,27,13,3,7,21,-6
213,PHX,PHX vs. IND,03/13/2021,L,240,111,43,91,47.3,12,31,38.7,13,17,76.5,10,30,40,28,9,4,16,17,-11
214,IND,IND @ PHX,03/13/2021,W,240,122,46,87,52.9,13,28,46.4,17,21,81.0,9,36,45,25,9,6,16,18,11
215,DAL,DAL @ DEN,03/13/2021,W,240,116,42,86,48.8,18,46,39.1,14,16,87.5,11,37,48,26,5,3,8,19,13
216,DEN,DEN vs. DAL,03/13/2021,L,240,103,37,90,41.1,16,41,39.0,13,18,72.2,12,30,42,27,5,1,10,19,-13
217,BKN,BKN vs. DET,03/13/2021,W,240,100,39,80,48.8,6,27,22.2,16,22,72.7,5,30,35,22,8,7,12,16,5
218,DET,DET @ BKN,03/13/2021,L,240,95,36,89,40.4,8,32,25.0,15,20,75.0,12,34,46,26,10,8,13,16,-5
219,CHA,CHA vs. TOR,03/13/2021,W,240,114,39,81,48.1,21,49,42.9,15,19,78.9,8,43,51,30,10,6,27,22,10
220,TOR,TOR @ CHA,03/13/2021,L,240,104,37,96,38.5,15,46,32.6,15,18,83.3,13,34,47,25,10,6,16,16,-10
221,POR,POR @ MIN,03/13/2021,W,240,125,43,89,48.3,13,40,32.5,26,30,86.7,7,27,34,26,6,5,8,18,4
222,MIN,MIN vs. POR,03/13/2021,L,240,121,44,86,51.2,10,26,38.5,23,31,74.2,19,37,56,23,5,7,18,24,-4
223,SAC,SAC @ ATL,03/13/2021,L,240,106,43,98,43.9,7,36,19.4,13,16,81.3,22,25,47,27,5,1,13,26,-15
224,ATL,ATL vs. SAC,03/13/2021,W,240,121,43,84,51.2,12,33,36.4,23,33,69.7,13,32,45,21,6,2,9,17,15
225,WAS,WAS vs. MIL,03/13/2021,L,240,119,43,94,45.7,16,41,39.0,17,22,77.3,6,35,41,25,9,2,15,20,-6
226,MIL,MIL @ WAS,03/13/2021,W,240,125,43,99,43.4,17,45,37.8,22,25,88.0,13,44,57,33,9,3,18,19,6
227,NYK,NYK @ OKC,03/13/2021,W,240,119,44,90,48.9,14,35,40.0,17,22,77.3,11,33,44,23,12,2,11,20,22
228,OKC,OKC vs. NYK,03/13/2021,L,240,97,37,76,48.7,8,32,25.0,15,21,71.4,5,35,40,22,3,4,18,18,-22
229,IND,IND @ LAL,03/12/2021,L,240,100,37,88,42.0,8,36,22.2,18,21,85.7,10,34,44,22,7,4,16,27,-5
230,LAL,LAL vs. IND,03/12/2021,W,240,105,34,76,44.7,7,22,31.8,30,39,76.9,6,38,44,20,10,5,15,20,5
231,UTA,UTA vs. HOU,03/12/2021,W,240,114,39,81,48.1,15,40,37.5,21,25,84.0,6,45,51,24,7,10,20,17,15
232,HOU,HOU @ UTA,03/12/2021,L,240,99,41,112,36.6,9,43,20.9,8,13,61.5,19,31,50,15,11,5,11,19,-15
233,MIA,MIA @ CHI,03/12/2021,W,240,101,37,80,46.3,12,35,34.3,15,20,75.0,1,40,41,26,11,6,10,13,11
234,CHI,CHI vs. MIA,03/12/2021,L,240,90,34,92,37.0,15,38,39.5,7,7,100,12,38,50,25,5,3,16,16,-11
235,SAS,SAS vs. ORL,03/12/2021,W,240,104,40,89,44.9,10,29,34.5,14,18,77.8,7,38,45,24,8,5,11,15,27
236,ORL,ORL @ SAS,03/12/2021,L,240,77,29,80,36.3,10,38,26.3,9,12,75.0,9,37,46,17,3,4,20,16,-27
237,NOP,NOP vs. CLE,03/12/2021,W,240,116,47,101,46.5,6,24,25.0,16,19,84.2,19,51,70,25,2,7,14,18,34
238,CLE,CLE @ NOP,03/12/2021,L,240,82,30,88,34.1,7,32,21.9,15,20,75.0,5,28,33,13,8,9,7,18,-34
239,DEN,DEN @ MEM,03/12/2021,W,240,103,41,92,44.6,13,37,35.1,8,11,72.7,9,36,45,27,10,5,12,10,1
240,MEM,MEM vs. DEN,03/12/2021,L,240,102,40,87,46.0,14,28,50.0,8,8,100,8,37,45,27,6,5,17,15,-1
241,PHI,PHI @ WAS,03/12/2021,W,240,127,49,90,54.4,11,21,52.4,18,18,100,10,39,49,26,13,6,17,19,26
242,WAS,WAS vs. PHI,03/12/2021,L,240,101,40,82,48.8,8,24,33.3,13,22,59.1,6,26,32,19,10,2,18,16,-26
243,MIL,MIL vs. NYK,03/11/2021,W,240,134,50,87,57.5,18,38,47.4,16,17,94.1,5,38,43,29,9,9,12,18,33
244,NYK,NYK @ MIL,03/11/2021,L,240,101,37,88,42.0,13,37,35.1,14,21,66.7,10,28,38,19,3,5,15,19,-33
245,GSW,GSW @ LAC,03/11/2021,L,240,104,38,88,43.2,9,36,25.0,19,27,70.4,5,39,44,20,6,6,16,23,-26
246,LAC,LAC vs. GSW,03/11/2021,W,240,130,44,96,45.8,18,41,43.9,24,29,82.8,11,45,56,23,10,6,11,22,26
247,HOU,HOU @ SAC,03/11/2021,L,240,105,41,99,41.4,11,45,24.4,12,17,70.6,10,34,44,24,7,6,13,22,-20
248,SAC,SAC vs. HOU,03/11/2021,W,240,125,45,92,48.9,11,33,33.3,24,28,85.7,8,45,53,25,11,5,15,19,20
249,POR,POR vs. PHX,03/11/2021,L,240,121,43,94,45.7,18,43,41.9,17,19,89.5,15,26,41,26,8,2,11,18,-6
250,PHX,PHX @ POR,03/11/2021,W,240,127,49,83,59.0,13,24,54.2,16,19,84.2,5,33,38,28,6,1,13,20,6
251,DAL,DAL @ OKC,03/11/2021,L,240,108,35,82,42.7,15,34,44.1,23,33,69.7,6,31,37,20,4,9,6,22,-8
252,OKC,OKC vs. DAL,03/11/2021,W,240,116,41,91,45.1,16,32,50.0,18,20,90.0,16,39,55,25,2,6,9,24,8
253,TOR,TOR vs. ATL,03/11/2021,L,240,120,42,96,43.8,17,37,45.9,19,23,82.6,13,37,50,23,8,4,14,25,-1
254,ATL,ATL @ TOR,03/11/2021,W,240,121,39,90,43.3,15,42,35.7,28,35,80.0,12,41,53,20,8,13,14,26,1
255,MIN,MIN @ NOP,03/11/2021,W,240,135,51,95,53.7,19,40,47.5,14,16,87.5,7,31,38,28,11,10,12,20,30
256,NOP,NOP vs. MIN,03/11/2021,L,240,105,43,100,43.0,6,32,18.8,13,24,54.2,19,32,51,28,7,6,18,18,-30
257,MIA,MIA vs. ORL,03/11/2021,W,240,111,41,91,45.1,16,49,32.7,13,22,59.1,9,35,44,27,8,4,11,16,8
258,ORL,ORL @ MIA,03/11/2021,L,240,103,39,96,40.6,12,34,35.3,13,15,86.7,16,41,57,22,6,4,14,19,-8
259,PHI,PHI @ CHI,03/11/2021,W,240,127,53,103,51.5,10,33,30.3,11,15,73.3,13,32,45,25,11,7,11,16,22
260,CHI,CHI vs. PHI,03/11/2021,L,240,105,39,83,47.0,14,29,48.3,13,16,81.3,8,30,38,26,3,6,19,19,-22
261,BOS,BOS @ BKN,03/11/2021,L,240,109,41,91,45.1,13,40,32.5,14,22,63.6,11,28,39,22,10,10,11,13,-12
262,BKN,BKN vs. BOS,03/11/2021,W,240,121,42,88,47.7,19,42,45.2,18,22,81.8,11,34,45,21,3,5,15,22,12
263,DET,DET @ CHA,03/11/2021,L,240,102,38,85,44.7,15,46,32.6,11,14,78.6,11,39,50,27,6,5,14,21,-3
264,CHA,CHA vs. DET,03/11/2021,W,240,105,36,90,40.0,10,30,33.3,23,24,95.8,12,33,45,26,9,3,9,14,3
265,SAS,SAS @ DAL,03/10/2021,L,240,104,38,83,45.8,12,28,42.9,16,20,80.0,6,24,30,18,10,2,9,19,-11
266,DAL,DAL vs. SAS,03/10/2021,W,240,115,43,83,51.8,13,40,32.5,16,19,84.2,13,38,51,29,3,1,15,19,11
267,MEM,MEM vs. WAS,03/10/2021,W,240,127,50,99,50.5,8,23,34.8,19,29,65.5,14,46,60,31,4,6,16,26,15
268,WAS,WAS @ MEM,03/10/2021,L,240,112,38,95,40.0,11,36,30.6,25,27,92.6,6,33,39,23,9,6,9,26,-15
269,SAC,SAC @ POR,03/04/2021,L,240,119,49,103,47.6,11,29,37.9,10,16,62.5,18,33,51,25,3,3,7,19,-4
270,POR,POR vs. SAC,03/04/2021,W,240,123,42,88,47.7,15,38,39.5,24,25,96.0,9,32,41,20,6,7,9,14,4
271,GSW,GSW @ PHX,03/04/2021,L,240,98,38,88,43.2,12,35,34.3,10,16,62.5,9,31,40,22,9,4,17,11,-22
272,PHX,PHX vs. GSW,03/04/2021,W,240,120,49,96,51.0,12,30,40.0,10,13,76.9,12,40,52,31,8,4,16,16,22
273,OKC,OKC @ SAS,03/04/2021,W,240,107,37,85,43.5,12,40,30.0,21,26,80.8,9,36,45,20,9,4,17,16,5
274,SAS,SAS vs. OKC,03/04/2021,L,240,102,40,85,47.1,10,31,32.3,12,12,100,6,40,46,23,9,5,19,24,-5
275,NOP,NOP vs. MIA,03/04/2021,L,240,93,33,84,39.3,11,43,25.6,16,20,80.0,15,29,44,28,5,3,14,21,-10
276,MIA,MIA @ NOP,03/04/2021,W,240,103,36,73,49.3,10,30,33.3,21,25,84.0,5,36,41,27,6,3,11,20,10
277,MIL,MIL @ MEM,03/04/2021,W,240,112,42,95,44.2,10,34,29.4,18,22,81.8,13,39,52,21,11,5,16,19,1
278,MEM,MEM vs. MIL,03/04/2021,L,240,111,40,101,39.6,8,34,23.5,23,24,95.8,17,39,56,21,13,8,12,20,-1
279,IND,IND vs. DEN,03/04/2021,L,240,103,41,90,45.6,14,39,35.9,7,12,58.3,11,23,34,27,12,3,15,17,-10
280,DEN,DEN @ IND,03/04/2021,W,240,113,45,77,58.4,12,28,42.9,11,16,68.8,6,35,41,27,6,5,19,13,10
281,DET,DET @ NYK,03/04/2021,L,240,104,39,80,48.8,14,36,38.9,12,15,80.0,6,23,29,23,6,2,13,13,-10
282,NYK,NYK vs. DET,03/04/2021,W,240,114,45,83,54.2,9,27,33.3,15,19,78.9,12,35,47,25,10,4,13,13,10
283,WAS,WAS vs. LAC,03/04/2021,W,240,119,40,88,45.5,9,23,39.1,30,42,71.4,11,30,41,20,12,3,9,24,2
284,LAC,LAC @ WAS,03/04/2021,L,240,117,38,82,46.3,16,35,45.7,25,27,92.6,10,35,45,24,4,4,19,31,-2
285,BOS,BOS vs. TOR,03/04/2021,W,240,132,45,74,60.8,13,29,44.8,29,40,72.5,9,30,39,25,6,7,16,20,7
286,TOR,TOR @ BOS,03/04/2021,L,240,125,45,91,49.5,21,50,42.0,14,17,82.4,8,20,28,36,6,1,14,25,-7
287,SAC,SAC vs. LAL,03/03/2021,W,240,123,48,80,60.0,12,25,48.0,15,19,78.9,6,24,30,32,5,1,14,19,3
288,LAL,LAL @ SAC,03/03/2021,L,240,120,49,93,52.7,12,27,44.4,10,14,71.4,15,26,41,27,7,3,12,19,-3
289,POR,POR vs. GSW,03/03/2021,W,240,108,36,86,41.9,14,49,28.6,22,26,84.6,8,39,47,15,5,4,10,16,2
290,GSW,GSW @ POR,03/03/2021,L,240,106,41,97,42.3,15,42,35.7,9,14,64.3,17,37,54,27,8,1,11,24,-2
291,DAL,DAL vs. OKC,03/03/2021,W,240,87,32,83,38.6,8,40,20.0,15,19,78.9,7,46,53,18,8,3,15,13,9
292,OKC,OKC @ DAL,03/03/2021,L,240,78,29,87,33.3,9,39,23.1,11,17,64.7,8,37,45,13,6,4,13,20,-9
293,ORL,ORL vs. ATL,03/03/2021,L,240,112,36,84,42.9,13,35,37.1,27,27,100,10,36,46,24,6,5,10,15,-3
294,ATL,ATL @ ORL,03/03/2021,W,240,115,38,85,44.7,21,45,46.7,18,19,94.7,6,36,42,26,7,5,12,25,3
295,NOP,NOP vs. CHI,03/03/2021,L,240,124,46,83,55.4,6,22,27.3,26,38,68.4,7,28,35,29,10,6,11,19,-4
296,CHI,CHI @ NOP,03/03/2021,W,240,128,48,94,51.1,12,28,42.9,20,22,90.9,13,32,45,28,6,8,16,21,4
297,CHA,CHA @ MIN,03/03/2021,W,240,135,51,98,52.0,17,39,43.6,16,21,76.2,13,41,54,33,14,7,17,18,33
298,MIN,MIN vs. CHA,03/03/2021,L,240,102,39,96,40.6,9,40,22.5,15,18,83.3,12,33,45,25,11,2,21,18,-33
299,BKN,BKN @ HOU,03/03/2021,W,240,132,49,85,57.6,17,35,48.6,17,24,70.8,10,43,53,33,5,1,15,24,18
300,HOU,HOU vs. BKN,03/03/2021,L,240,114,38,91,41.8,18,43,41.9,20,28,71.4,12,25,37,24,10,5,9,18,-18
301,TOR,TOR vs. DET,03/03/2021,L,240,105,34,77,44.2,12,36,33.3,25,30,83.3,7,27,34,17,6,5,14,20,-24
302,DET,DET @ TOR,03/03/2021,W,240,129,48,91,52.7,20,41,48.8,13,21,61.9,12,37,49,39,11,4,14,28,24
303,CLE,CLE vs. IND,03/03/2021,L,240,111,43,83,51.8,11,28,39.3,14,15,93.3,11,32,43,29,8,1,26,18,-3
304,IND,IND @ CLE,03/03/2021,W,240,114,47,83,56.6,8,25,32.0,12,16,75.0,4,23,27,27,18,8,14,16,3
305,UTA,UTA @ PHI,03/03/2021,L,265,123,44,100,44.0,21,44,47.7,14,19,73.7,12,40,52,22,7,1,16,24,-8
306,PHI,PHI vs. UTA,03/03/2021,W,265,131,48,93,51.6,8,25,32.0,27,35,77.1,8,42,50,22,9,6,11,17,8
307,WAS,WAS vs. MEM,03/02/2021,L,240,111,41,81,50.6,11,31,35.5,18,25,72.0,4,33,37,29,8,3,22,20,-14
308,MEM,MEM @ WAS,03/02/2021,W,240,125,47,95,49.5,13,29,44.8,18,23,78.3,9,35,44,26,15,1,13,21,14
309,MIL,MIL vs. DEN,03/02/2021,L,240,97,32,79,40.5,11,40,27.5,22,31,71.0,11,29,40,22,4,4,13,18,-31
310,DEN,DEN @ MIL,03/02/2021,W,240,128,53,95,55.8,11,30,36.7,11,12,91.7,9,36,45,28,10,3,10,19,31
311,MIA,MIA vs. ATL,03/02/2021,L,240,80,28,75,37.3,9,33,27.3,15,22,68.2,5,21,26,15,16,4,9,13,-14
312,ATL,ATL @ MIA,03/02/2021,W,240,94,34,71,47.9,13,36,36.1,13,15,86.7,11,36,47,26,5,2,23,18,14
313,BOS,BOS vs. LAC,03/02/2021,W,240,117,42,86,48.8,16,32,50.0,17,23,73.9,14,29,43,25,6,4,9,12,5
314,LAC,LAC @ BOS,03/02/2021,L,240,112,43,87,49.4,18,38,47.4,8,9,88.9,10,25,35,28,3,5,9,19,-5
315,NYK,NYK @ SAS,03/02/2021,L,240,93,33,81,40.7,15,36,41.7,12,15,80.0,9,32,41,18,2,5,16,16,-26
316,SAS,SAS vs. NYK,03/02/2021,W,240,119,43,89,48.3,18,42,42.9,15,21,71.4,9,36,45,31,12,4,9,14,26
317,PHX,PHX @ LAL,03/02/2021,W,240,114,38,77,49.4,16,29,55.2,22,25,88.0,5,30,35,30,5,7,14,16,10
318,LAL,LAL vs. PHX,03/02/2021,L,240,104,40,79,50.6,11,31,35.5,13,17,76.5,5,29,34,18,6,8,12,23,-10
319,UTA,UTA @ NOP,03/01/2021,L,240,124,46,101,45.5,17,43,39.5,15,18,83.3,11,28,39,26,11,7,9,22,-5
320,NOP,NOP vs. UTA,03/01/2021,W,240,129,52,92,56.5,7,11,63.6,18,23,78.3,10,43,53,27,5,5,13,15,5
321,CHA,CHA @ POR,03/01/2021,L,240,111,43,88,48.9,15,34,44.1,10,17,58.8,11,26,37,25,12,5,16,16,-12
322,POR,POR vs. CHA,03/01/2021,W,240,123,46,86,53.5,24,46,52.2,7,10,70.0,8,30,38,26,12,7,17,15,12
323,CLE,CLE @ HOU,03/01/2021,W,240,101,36,73,49.3,10,30,33.3,19,24,79.2,6,42,48,23,7,6,21,18,11
324,HOU,HOU vs. CLE,03/01/2021,L,240,90,31,76,40.8,10,31,32.3,18,24,75.0,4,26,30,13,13,4,14,18,-11
325,ORL,ORL vs. DAL,03/01/2021,L,240,124,47,95,49.5,20,41,48.8,10,14,71.4,6,35,41,25,5,1,8,17,-6
326,DAL,DAL @ ORL,03/01/2021,W,240,130,47,90,52.2,17,46,37.0,19,23,82.6,7,39,46,29,6,6,8,12,6
327,DEN,DEN @ CHI,03/01/2021,W,240,118,46,87,52.9,10,27,37.0,16,20,80.0,9,41,50,22,4,6,13,18,6
328,CHI,CHI vs. DEN,03/01/2021,L,240,112,42,94,44.7,12,38,31.6,16,22,72.7,14,30,44,25,7,3,10,18,-6
329,SAS,SAS vs. BKN,03/01/2021,L,265,113,44,97,45.4,15,35,42.9,10,15,66.7,9,39,48,30,2,3,9,16,-11
330,BKN,BKN @ SAS,03/01/2021,W,265,124,47,100,47.0,17,41,41.5,13,17,76.5,13,38,51,35,6,8,5,13,11
331,IND,IND @ PHI,03/01/2021,L,240,114,44,91,48.4,8,29,27.6,18,21,85.7,8,26,34,27,8,1,19,19,-16
332,PHI,PHI vs. IND,03/01/2021,W,240,130,50,88,56.8,15,35,42.9,15,16,93.8,6,33,39,27,10,6,19,19,16
333,MIN,MIN vs. PHX,02/28/2021,L,240,99,35,93,37.6,8,35,22.9,21,24,87.5,10,34,44,21,12,4,16,22,-19
334,PHX,PHX @ MIN,02/28/2021,W,240,118,44,89,49.4,7,27,25.9,23,24,95.8,8,39,47,27,7,5,16,18,19
335,CHA,CHA @ SAC,02/28/2021,W,240,127,45,83,54.2,11,30,36.7,26,27,96.3,7,30,37,30,3,6,16,20,1
336,SAC,SAC vs. CHA,02/28/2021,L,240,126,50,92,54.3,16,36,44.4,10,17,58.8,9,24,33,32,6,2,10,19,-1
337,MIL,MIL vs. LAC,02/28/2021,W,240,105,38,85,44.7,12,38,31.6,17,22,77.3,8,40,48,21,7,5,12,11,5
338,LAC,LAC @ MIL,02/28/2021,L,240,100,40,97,41.2,14,44,31.8,6,7,85.7,13,36,49,20,7,3,10,19,-5
339,NYK,NYK @ DET,02/28/2021,W,240,109,44,86,51.2,13,26,50.0,8,10,80.0,6,35,41,23,9,7,12,23,19
340,DET,DET vs. NYK,02/28/2021,L,240,90,28,72,38.9,9,32,28.1,25,31,80.6,7,33,40,16,8,4,16,15,-19
341,MIA,MIA vs. ATL,02/28/2021,W,240,109,39,86,45.3,11,37,29.7,20,22,90.9,12,33,45,27,8,6,14,20,10
342,ATL,ATL @ MIA,02/28/2021,L,240,99,36,87,41.4,8,35,22.9,19,22,86.4,16,33,49,22,12,6,17,20,-10
343,HOU,HOU vs. MEM,02/28/2021,L,240,84,23,83,27.7,4,45,8.9,34,41,82.9,12,26,38,10,7,6,23,24,-49
344,MEM,MEM @ HOU,02/28/2021,W,240,133,50,94,53.2,10,30,33.3,23,28,82.1,11,45,56,27,16,3,18,31,49
345,BOS,BOS vs. WAS,02/28/2021,W,240,111,42,89,47.2,10,30,33.3,17,24,70.8,13,36,49,25,7,0,19,25,1
346,WAS,WAS @ BOS,02/28/2021,L,240,110,38,84,45.2,9,32,28.1,25,29,86.2,7,29,36,16,10,5,14,22,-1
347,GSW,GSW @ LAL,02/28/2021,L,240,91,35,86,40.7,8,34,23.5,13,19,68.4,3,32,35,26,10,4,20,25,-26
348,LAL,LAL vs. GSW,02/28/2021,W,240,117,40,85,47.1,11,31,35.5,26,38,68.4,14,46,60,22,14,6,20,21,26
349,DEN,DEN @ OKC,02/27/2021,W,240,126,49,89,55.1,15,31,48.4,13,16,81.3,6,43,49,30,6,3,13,16,30
350,OKC,OKC vs. DEN,02/27/2021,L,240,96,37,88,42.0,11,47,23.4,11,15,73.3,7,30,37,24,7,6,14,16,-30
351,WAS,WAS vs. MIN,02/27/2021,W,240,128,44,98,44.9,13,33,39.4,27,34,79.4,15,42,57,27,6,6,16,24,16
352,MIN,MIN @ WAS,02/27/2021,L,240,112,41,95,43.2,11,35,31.4,19,29,65.5,12,38,50,23,9,10,18,29,-16
353,ORL,ORL vs. UTA,02/27/2021,L,240,109,44,96,45.8,14,34,41.2,7,8,87.5,7,30,37,27,6,3,4,18,-15
354,UTA,UTA @ ORL,02/27/2021,W,240,124,45,85,52.9,17,45,37.8,17,24,70.8,10,42,52,29,2,3,12,14,15
355,DAL,DAL @ BKN,02/27/2021,W,240,115,45,86,52.3,14,36,38.9,11,17,64.7,6,30,36,23,12,8,9,15,17
356,BKN,BKN vs. DAL,02/27/2021,L,240,98,35,86,40.7,14,44,31.8,14,19,73.7,14,33,47,21,5,4,19,16,-17
357,NYK,NYK vs. IND,02/27/2021,W,240,110,40,81,49.4,12,24,50.0,18,22,81.8,4,34,38,26,12,2,21,22,3
358,IND,IND @ NYK,02/27/2021,L,240,107,38,84,45.2,11,28,39.3,20,25,80.0,6,29,35,27,5,7,16,17,-3
359,NOP,NOP @ SAS,02/27/2021,L,240,114,40,91,44.0,9,32,28.1,25,31,80.6,17,35,52,27,3,2,10,17,-3
360,SAS,SAS vs. NOP,02/27/2021,W,240,117,41,86,47.7,12,32,37.5,23,28,82.1,8,30,38,24,7,5,9,26,3
361,CLE,CLE @ PHI,02/27/2021,W,265,112,41,97,42.3,8,24,33.3,22,29,75.9,13,39,52,24,12,3,17,26,3
362,PHI,PHI vs. CLE,02/27/2021,L,265,109,38,83,45.8,10,28,35.7,23,35,65.7,8,38,46,25,9,10,19,26,-3
363,LAC,LAC @ MEM,02/26/2021,W,240,119,44,80,55.0,14,35,40.0,17,18,94.4,4,43,47,34,6,8,17,19,20
364,MEM,MEM vs. LAC,02/26/2021,L,240,99,39,97,40.2,9,28,32.1,12,16,75.0,8,29,37,24,10,4,9,14,-20
365,OKC,OKC vs. ATL,02/26/2021,W,240,118,46,88,52.3,16,42,38.1,10,16,62.5,5,34,39,31,6,2,10,17,9
366,ATL,ATL @ OKC,02/26/2021,L,240,109,43,97,44.3,12,40,30.0,11,17,64.7,19,35,54,21,6,5,11,13,-9
367,HOU,HOU @ TOR,02/26/2021,L,240,111,39,91,42.9,16,47,34.0,17,20,85.0,7,30,37,23,4,5,11,24,-11
368,TOR,TOR vs. HOU,02/26/2021,W,240,122,40,89,44.9,16,41,39.0,26,27,96.3,11,37,48,29,6,8,13,20,11
369,SAC,SAC @ DET,02/26/2021,W,240,110,37,89,41.6,7,32,21.9,29,41,70.7,14,35,49,24,5,6,11,25,3
370,DET,DET vs. SAC,02/26/2021,L,240,107,37,82,45.1,12,33,36.4,21,32,65.6,10,35,45,20,6,6,11,25,-3
371,UTA,UTA @ MIA,02/26/2021,L,240,116,40,94,42.6,15,46,32.6,21,23,91.3,9,27,36,24,9,3,9,21,-8
372,MIA,MIA vs. UTA,02/26/2021,W,240,124,44,86,51.2,14,31,45.2,22,25,88.0,11,39,50,24,5,1,15,21,8
373,IND,IND @ BOS,02/26/2021,L,240,112,35,89,39.3,15,46,32.6,27,29,93.1,8,32,40,26,8,6,9,22,-6
374,BOS,BOS vs. IND,02/26/2021,W,240,118,42,82,51.2,9,22,40.9,25,29,86.2,7,38,45,24,3,6,12,20,6
375,PHX,PHX @ CHI,02/26/2021,W,240,106,44,88,50.0,6,22,27.3,12,15,80.0,3,27,30,35,11,4,7,11,9
376,CHI,CHI vs. PHX,02/26/2021,L,240,97,39,78,50.0,12,31,38.7,7,10,70.0,6,35,41,25,2,4,19,16,-9
377,LAL,LAL vs. POR,02/26/2021,W,240,102,37,88,42.0,7,27,25.9,21,28,75.0,15,37,52,25,9,7,10,23,9
378,POR,POR @ LAL,02/26/2021,L,240,93,32,83,38.6,11,37,29.7,18,20,90.0,10,35,45,19,5,5,16,21,-9
379,GSW,GSW vs. CHA,02/26/2021,W,240,130,48,79,60.8,11,24,45.8,23,25,92.0,4,33,37,38,10,3,25,19,9
380,CHA,CHA @ GSW,02/26/2021,L,240,121,41,89,46.1,17,41,41.5,22,32,68.8,13,25,38,27,11,1,21,23,-9
381,MEM,MEM vs. LAC,02/25/2021,W,240,122,50,92,54.3,11,19,57.9,11,16,68.8,7,41,48,27,7,1,7,17,28
382,LAC,LAC @ MEM,02/25/2021,L,240,94,34,84,40.5,12,34,35.3,14,16,87.5,8,33,41,19,4,4,14,15,-28
383,DEN,DEN vs. WAS,02/25/2021,L,240,110,37,85,43.5,15,38,39.5,21,24,87.5,12,32,44,23,6,7,18,20,-2
384,WAS,WAS @ DEN,02/25/2021,W,240,112,41,86,47.7,8,26,30.8,22,25,88.0,10,32,42,24,9,2,11,20,2
385,MIL,MIL vs. NOP,02/25/2021,W,240,129,52,96,54.2,13,31,41.9,12,16,75.0,8,34,42,21,4,8,9,13,4
386,NOP,NOP @ MIL,02/25/2021,L,240,125,51,102,50.0,13,39,33.3,10,14,71.4,12,35,47,32,5,4,9,17,-4
387,ORL,ORL @ BKN,02/25/2021,L,240,92,35,87,40.2,9,36,25.0,13,15,86.7,4,31,35,19,8,1,18,10,-37
